iter	Passed	Remaining
1175	81625	6940
1176	81694	6871
1177	81764	6802
1178	81835	6732
1179	81898	6662
1180	81965	6593
1181	82031	6523
1182	82103	6454
1183	82173	6385
1184	82241	6315
1185	82315	6246
1186	82383	6177
1187	82451	6107
1188	82521	6038
1189	82578	5967
1190	82650	5898
1191	82722	5829
1192	82791	5760
1193	82862	5690
1194	82931	5621
1195	83005	5552
1196	83070	5482
1197	83140	5413
1198	83208	5343
1199	83274	5274
1200	83344	5204
1201	83423	5135
1202	83491	5066
1203	83564	4997
1204	83635	4927
1205	83706	4858
1206	83776	4789
1207	83847	4719
1208	83923	4650
1209	83996	4581
1210	84076	4512
1211	84145	4443
1212	84205	4373
1213	84263	4303
1214	84323	4233
1215	84394	4164
1216	84460	4094
1217	84513	4024
1218	84576	3954
1219	84639	3885
1220	84696	3815
1221	84754	3745
1222	84822	3675
1223	84886	3606
1224	84970	3537
1225	85047	3468
1226	85118	3399
1227	85187	3329
1228	85251	3260
1229	85322	3190
1230	85385	3121
1231	85453	3051
1232	85515	2982
1233	85578	2912
1234	85637	2843
1235	85697	2773
1236	85753	2703
1237	85820	2634
1238	85884	2564
1239	85951	2495
1240	86007	2425
1241	86069	2356
1242	86129	2286
1243	86191	2217
1244	86255	2147
1245	86308	2078
1246	86371	2008
1247	86441	1939
1248	86507	1870
1249	86559	1800
1250	86623	1731
1251	86686	1661
1252	86745	1592
1253	86801	1522
1254	86856	1453
1255	86925	1384
1256	86986	1314
1257	87045	1245
1258	87104	1176
1259	87168	1106
1260	87227	1037
1261	87282	968
1262	87343	899
1263	87402	829
1264	87464	760
1265	87523	691
1266	87583	622
1267	87644	552
1268	87715	483
1269	87786	414
1270	87866	345
1271	87942	276
1272	88009	207
1273	88087	138
1274	88159	69
1275	88211	0
